RowID,Post,Image Drawn,Post Interest,Like Possibility,Comment Possibility,Share Possibility,Caption_Length,Hashtags
Post2_142,2,11,5,5,4,4,140,15
Post2_143,2,9,3,2,1,1,5,15
Post2_144,2,4,4,4,4,2,200,5
Post2_145,2,10,4,3,2,2,70,15
Post2_146,2,7,5,5,5,5,140,11
Post2_147,2,6,3,3,2,2,70,11
Post2_148,2,5,5,1,1,1,5,11
Post2_149,2,2,3,3,3,3,70,5
Post2_150,2,3,5,5,5,3,140,5
Post2_151,2,8,4,4,4,3,200,11
Post2_152,2,1,4,1,1,1,5,5
Post2_153,2,9,3,1,1,1,5,15
Post2_154,2,3,5,5,5,4,140,5
Post2_155,2,11,5,5,4,4,140,15
Post2_156,2,7,5,5,5,5,140,11
Post2_157,2,12,4,2,1,1,200,15
Post2_158,2,5,3,2,1,1,5,11
Post2_159,2,6,3,3,3,3,70,11
Post2_160,2,2,3,2,1,1,70,5
Post2_161,2,10,3,3,3,2,70,15
Post2_162,2,1,4,2,1,2,5,5
Post2_163,2,4,4,2,2,1,200,5
Post2_164,2,2,3,3,3,2,70,5
Post2_165,2,5,3,2,1,1,5,11
Post2_166,2,6,3,2,2,1,70,11
Post2_167,2,11,5,5,5,4,140,15
Post2_168,2,4,3,3,1,1,200,5
Post2_169,2,9,3,1,1,1,5,15
Post2_170,2,3,5,5,5,3,140,5
Post2_171,2,1,3,3,1,1,5,5
Post2_172,2,7,5,5,5,5,140,11
Post2_173,2,12,3,1,1,1,200,15
Post2_174,2,10,3,2,1,1,70,15
Post2_175,2,8,4,4,3,1,200,11
Post2_176,2,11,5,5,4,5,140,15
Post2_177,2,10,4,2,1,1,70,15
Post2_178,2,12,3,2,1,1,200,15
Post2_179,2,4,3,2,1,1,200,5
Post2_180,2,9,4,1,1,1,5,15
Post2_181,2,7,5,5,5,5,140,11
Post2_182,2,8,4,1,1,1,200,11
Post2_183,2,2,4,3,2,1,70,5
Post2_184,2,6,4,3,2,2,70,11
Post2_185,2,5,3,1,1,1,5,11
Post2_186,2,3,5,5,5,4,140,5
Post2_187,2,5,3,1,1,1,5,11
Post2_188,2,3,5,5,5,4,140,5
Post2_189,2,12,4,2,1,1,200,15
Post2_190,2,6,3,3,3,3,70,11
Post2_191,2,4,3,1,1,1,200,5
Post2_192,2,7,5,5,5,5,140,11
Post2_193,2,11,5,5,5,3,140,15
Post2_194,2,8,3,1,1,1,200,11
Post2_195,2,10,3,2,2,2,70,15
