RowID,Post,Image Drawn,Post Interest,Like Possibility,Comment Possibility,Share Possibility,Caption_Length,Hashtags
Post1_85,1,6,3,3,2,1,70,11
Post1_86,1,7,3,4,1,1,140,11
Post1_87,1,9,3,1,1,1,5,15
Post1_88,1,5,4,2,1,1,5,11
Post1_89,1,7,5,5,5,5,140,11
Post1_90,1,9,3,1,1,1,5,15
Post1_91,1,4,4,4,4,3,200,5
Post1_92,1,3,3,4,1,1,140,5
Post1_93,1,10,3,1,1,1,70,15
Post1_94,1,6,4,3,3,2,70,11
Post1_95,1,2,4,3,2,2,70,5
Post1_96,1,8,4,4,3,3,200,11
Post1_97,1,1,5,1,1,1,5,5
Post1_98,1,11,5,5,5,4,140,15
Post1_99,1,12,4,4,3,3,200,15
Post1_100,1,10,4,4,2,2,70,15
Post1_101,1,9,3,2,1,1,5,15
Post1_102,1,8,5,4,4,3,200,11
Post1_103,1,1,4,1,1,1,5,5
Post1_104,1,2,3,3,3,2,70,5
Post1_105,1,3,5,5,4,4,140,5
Post1_106,1,12,4,4,3,1,200,15
Post1_107,1,7,5,5,5,5,140,11
Post1_108,1,6,4,4,3,2,70,11
Post1_109,1,12,4,4,3,2,200,15
Post1_110,1,7,5,5,5,5,140,11
Post1_111,1,3,5,5,4,3,140,5
Post1_112,1,4,3,4,4,2,200,5
Post1_113,1,8,4,4,4,3,200,11
Post1_114,1,12,4,4,3,3,200,15
Post1_115,1,6,3,3,2,2,70,11
Post1_116,1,1,3,1,1,1,5,5
Post1_117,1,11,5,5,5,4,140,15
Post1_118,1,7,5,5,5,5,140,11
Post1_119,1,2,3,3,2,1,70,5
Post1_120,1,9,3,1,1,1,5,15
Post1_121,1,8,4,4,4,3,200,11
Post1_122,1,5,3,5,2,2,5,11
Post1_123,1,10,4,4,1,1,70,15
Post1_124,1,3,5,5,4,4,140,5
Post1_125,1,4,4,4,3,3,200,5
Post1_126,1,5,3,1,1,1,5,11
Post1_127,1,10,3,3,2,1,70,15
Post1_128,1,11,5,5,5,4,140,15
Post1_129,1,6,4,3,3,3,70,11
Post1_130,1,7,5,5,5,5,140,11
Post1_131,1,12,4,4,3,4,200,15
Post1_132,1,2,3,3,3,3,70,5
Post1_133,1,2,3,3,2,3,70,5
Post1_134,1,9,4,1,1,1,5,15
Post1_135,1,5,3,2,1,1,5,11
Post1_136,1,1,4,1,1,1,5,5
Post1_137,1,10,3,3,3,2,70,15
Post1_138,1,6,4,3,3,2,70,11
Post1_139,1,3,5,5,4,4,140,5
Post1_140,1,11,3,1,1,1,140,15
Post1_141,1,4,4,4,4,2,200,5
Post1_142,1,6,3,3,3,1,70,11
Post1_143,1,5,4,2,2,1,5,11
Post1_144,1,2,4,3,3,2,70,5
Post1_145,1,9,3,2,1,1,5,15
Post1_146,1,11,5,5,4,4,140,15
Post1_147,1,7,4,1,1,1,140,11
Post1_148,1,10,3,3,2,1,70,15
Post1_149,1,4,3,2,1,1,200,5
Post1_150,1,3,5,5,5,4,140,5
Post1_151,1,8,3,2,1,1,200,11
Post1_152,1,9,3,2,2,1,5,15
Post1_153,1,6,3,3,1,1,70,11
Post1_154,1,8,3,1,1,1,200,11
Post1_155,1,7,5,5,5,5,140,11
Post1_156,1,3,5,5,5,4,140,5
Post1_157,1,11,5,5,4,4,140,15
Post1_158,1,2,3,3,3,1,70,5
Post1_159,1,1,4,1,1,1,5,5
Post1_160,1,12,3,2,2,1,200,15
Post1_161,1,9,3,1,1,1,5,15
Post1_162,1,12,3,3,1,1,200,15
Post1_163,1,7,5,5,5,5,140,11
Post1_164,1,11,5,5,4,4,140,15
Post1_165,1,8,3,1,1,1,200,11
Post1_166,1,2,3,3,2,2,70,5
Post1_167,1,10,3,3,2,1,70,15
Post1_168,1,6,3,2,1,1,70,11
Post1_169,1,3,5,5,5,4,140,5
Post1_170,1,12,3,1,1,1,200,15
Post1_171,1,8,3,1,1,1,200,11
Post1_172,1,1,3,1,1,1,5,5
Post1_173,1,5,3,1,1,1,5,11
Post1_174,1,10,3,3,3,2,70,15
Post1_175,1,3,5,5,4,4,140,5
Post1_176,1,2,3,3,2,1,70,5
Post1_177,1,9,3,1,1,1,5,15
Post1_178,1,11,5,5,4,5,140,15
Post1_179,1,7,5,5,5,5,140,11
Post1_180,1,2,3,2,2,1,70,5
