RowID,Post,Image Drawn,Post Interest,Like Possibility,Comment Possibility,Share Possibility,Caption_Length,Hashtags
Post1_0,1,11,4,3,3,2,140,15
Post1_1,1,10,4,3,3,3,70,15
Post1_2,1,7,4,1,1,1,140,11
Post1_3,1,6,4,5,2,2,70,11
Post1_4,1,10,4,4,2,1,70,15
Post1_5,1,11,5,4,4,4,140,15
Post1_6,1,12,4,2,1,3,200,15
Post1_7,1,1,4,2,1,1,5,5
Post1_8,1,7,5,5,5,5,140,11
Post1_9,1,12,3,4,1,2,200,15
Post1_10,1,8,4,1,1,1,200,11
Post1_11,1,2,5,4,3,3,70,5
Post1_12,1,11,4,1,1,1,140,15
Post1_13,1,5,3,1,1,4,5,11
Post1_14,1,12,3,4,1,1,200,15
Post1_15,1,11,3,1,1,1,140,15
Post1_16,1,6,4,1,1,2,70,11
Post1_17,1,4,3,2,1,1,200,5
Post1_18,1,11,4,4,1,3,140,15
Post1_19,1,12,4,3,3,1,200,15
Post1_20,1,8,5,3,3,3,200,11
Post1_21,1,5,4,3,1,2,5,11
Post1_22,1,1,4,5,1,1,5,5
Post1_23,1,2,3,5,1,1,70,5
Post1_24,1,10,3,1,1,1,70,15
Post1_25,1,1,4,1,1,1,5,5
Post1_26,1,11,5,5,4,4,140,15
Post1_27,1,9,3,1,3,1,5,15
Post1_28,1,11,3,3,2,2,140,15
Post1_29,1,1,3,2,1,1,5,5
Post1_30,1,4,4,1,1,1,200,5
Post1_31,1,6,3,1,1,1,70,11
Post1_32,1,10,4,2,1,1,70,15
Post1_33,1,11,4,4,2,3,140,15
Post1_34,1,12,4,1,1,1,200,15
Post1_35,1,6,4,2,1,1,70,11
Post1_36,1,12,3,1,1,1,200,15
Post1_37,1,11,4,1,1,1,140,15
Post1_38,1,8,3,1,1,1,200,11
Post1_39,1,6,3,1,1,1,70,11
Post1_40,1,10,4,1,1,1,70,15
Post1_41,1,4,3,3,2,3,200,5
Post1_42,1,2,4,5,1,2,70,5
Post1_43,1,6,3,1,1,1,70,11
Post1_44,1,1,4,5,1,3,5,5
Post1_45,1,5,3,1,1,1,5,11
Post1_46,1,8,3,2,1,1,200,11
Post1_47,1,12,3,1,1,1,200,15
Post1_48,1,1,3,3,2,2,5,5
Post1_49,1,5,3,3,2,3,5,11
Post1_50,1,4,3,2,1,2,200,5
Post1_51,1,10,4,3,3,3,70,15
Post1_52,1,9,3,2,1,1,5,15
Post1_53,1,3,5,5,5,4,140,5
Post1_54,1,1,4,2,1,1,5,5
Post1_55,1,2,3,1,1,1,70,5
Post1_56,1,12,3,2,1,3,200,15
Post1_57,1,8,3,2,1,1,200,11
Post1_58,1,11,3,1,1,1,140,15
Post1_59,1,5,4,2,1,1,5,11
Post1_60,1,4,5,4,3,3,200,5
Post1_61,1,8,5,4,3,4,200,11
Post1_62,1,6,4,3,2,2,70,11
Post1_63,1,7,4,3,2,2,140,11
Post1_64,1,1,3,4,1,1,5,5
Post1_65,1,3,5,5,5,4,140,5
Post1_66,1,2,4,1,1,1,70,5
Post1_67,1,12,3,2,1,1,200,15
Post1_68,1,10,3,2,1,2,70,15
Post1_69,1,6,4,3,2,2,70,11
Post1_70,1,1,3,1,1,1,5,5
Post1_71,1,11,3,3,1,1,140,15
Post1_72,1,7,5,5,5,5,140,11
Post1_73,1,9,3,1,1,1,5,15
Post1_74,1,12,4,4,3,3,200,15
Post1_75,1,11,5,5,4,4,140,15
Post1_76,1,10,4,3,3,2,70,15
Post1_77,1,3,5,5,5,4,140,5
Post1_78,1,2,3,3,2,1,70,5
Post1_79,1,8,4,4,4,3,200,11
Post1_80,1,1,5,5,2,2,5,5
Post1_81,1,4,4,4,3,3,200,5
Post1_82,1,6,4,3,3,1,70,11
Post1_83,1,1,4,1,1,1,5,5
Post1_84,1,8,4,4,4,3,200,11
